"year","Rank","mean_points"
2020,113,11978.6666666667
2020,114,11830.6666666667
2020,115,11696.9166666667
2020,116,11593.6666666667
2020,117,11494.1666666667
2020,118,11426.6666666667
2020,119,11382.25
2020,120,11323.6666666667
2020,121,11257.5
2020,122,11091.5
2020,123,10997.5833333333
2020,124,10937.5
2020,125,10727.5
2020,126,10633.3333333333
2020,127,10523
2020,128,10407.1666666667
2020,129,10294.8333333333
2020,130,10196.8333333333
2020,131,10078.1666666667
2020,132,9995.16666666667
2020,133,9895.83333333333
2020,134,9766.33333333333
2020,135,9636
2020,136,9578.75
2020,137,9467.5
2020,138,9313.41666666667
2020,139,9225.5
2020,140,9141.91666666667
2020,141,9105.83333333333
2020,142,9023.5
2020,143,8930.5
2020,144,8890.5
2020,145,8832.75
2020,146,8733.58333333333
2020,147,8681
2020,148,8566.16666666667
2020,149,8499.25
2020,150,8411.33333333333
2020,151,8372
2020,152,8274.33333333333
2020,153,8202.66666666667
2020,154,8117.5
2020,155,8063.83333333333
2020,156,8023.91666666667
2020,157,7960
2020,158,7885.83333333333
2020,159,7815.16666666667
2020,160,7758.33333333333
2020,161,7677.33333333333
2020,162,7647
2020,163,7597.5
2020,164,7541.66666666667
2020,165,7511.33333333333
2020,166,7423.33333333333
2020,167,7380.16666666667
2020,168,7301.75
2020,169,7239.66666666667
2020,170,7148
2020,171,7116.25
2020,172,7054.91666666667
2020,173,7020.83333333333
2020,174,6985
2020,175,6911.66666666667
2020,176,6857.5
2020,177,6811
2020,178,6768
2020,179,6727.83333333333
2020,180,6680.5
2020,181,6634.16666666667
2020,182,6605.08333333333
2020,183,6569.16666666667
2020,184,6541.75
2020,185,6521.75
2020,186,6489.16666666667
2020,187,6455
2020,188,6399.66666666667
2020,189,6343.5
2020,190,6308.33333333333
2020,191,6217.16666666667
2020,192,6192.58333333333
2020,193,6150.08333333333
2020,194,6075.5
2020,195,6032.25
2020,196,6008.75
2020,197,5966.66666666667
2020,198,5948
2020,199,5924.83333333333
2020,200,5891.66666666667
